User_ID,Age,Gender,Digital_Persona,UI_Preference,Theme_Choice,Daily_Screen_Time_Hours,Layout_Preference,Device_Type,Accessibility_Features_Used,Usage_Pattern,Click_Rate,Bounce_Rate,Avg_Session_Duration_Min,Weekly_App_Interactions,UI_Satisfaction_Score,Beta_Feature_OptIn,Color_Blind_Mode,Region,Preferred_Font_Size,Voice_Assistant_Use,Push_Notifications,InApp_Feedback_Given,Preferred_Interaction,Custom_Shortcuts_Used,Two_Factor_Enabled,Language,Multi_Device_Use,Cloud_Sync,Personalization_Level
UX1028,45,Non-Binary,Maximalist,Notifications Off,Monochrome,5.0,Custom,Android,Color Correction,Always On,0.52,0.42,5.18,8,2,False,False,NA,Extra Large,Never,All,No,Voice,True,False,Spanish,True,False,None
UX1029,33,Female,Aesthetic,Adaptive UI,Muted,4.3,List,iOS,None,Night Owl,0.54,0.43,17.38,69,9,True,False,EU,Extra Large,Occasional,Important Only,No,Gestures,False,True,Hindi,True,True,None
UX1030,32,Female,Traditional,Adaptive UI,Muted,4.8,Custom,Android,Magnification,Weekend Use,0.94,0.43,15.11,38,2,True,False,AF,Extra Large,Never,Important Only,No,Voice,False,True,English,False,False,Moderate
UX1031,20,Male,Traditional,Silent Mode,Muted,10.0,Card-based,Desktop,Color Correction,Morning Heavy,0.67,0.36,8.87,95,8,True,False,AF,Large,Occasional,All,Yes,Tap,False,True,Arabic,False,True,None
UX1032,54,Female,Tech-savvy,Dark Mode,Muted,11.3,Tabular,iOS,Magnification,Always On,0.91,0.73,10.0,89,8,False,False,SA,Small,Occasional,All,No,Voice,False,True,English,False,True,Low
UX1033,24,Other,Minimalist,Adaptive UI,Bold,6.1,Card-based,iOS,Color Correction,Weekend Use,0.51,0.71,8.81,92,1,False,False,AF,Large,Daily,None,Yes,Tap,True,False,Spanish,False,True,None
UX1034,38,Male,Eco-conscious,Dark Mode,Muted,11.1,Card-based,Android,VoiceOver,Weekend Use,0.23,0.48,18.67,83,1,False,False,AF,Small,Never,None,Yes,Voice,False,False,French,False,True,High
UX1035,26,Female,Aesthetic,Silent Mode,Monochrome,5.2,List,Tablet,Subtitles,Weekend Use,0.94,0.14,7.53,68,4,False,True,EU,Large,Daily,None,No,Tap,True,True,Arabic,False,True,None
UX1036,56,Male,Maximalist,High Contrast,Bold,6.8,Card-based,Android,Haptic Feedback,Morning Heavy,0.51,0.35,19.31,29,2,False,True,EU,Extra Large,Never,All,No,Tap,True,False,Arabic,False,False,Low
UX1037,35,Non-Binary,Maximalist,Gesture Nav,Pastel,4.3,List,Desktop,VoiceOver,Evening Only,0.26,0.33,18.3,59,1,False,False,SA,Small,Daily,None,Yes,Voice,False,False,Arabic,False,True,Moderate
UX1038,21,Female,Aesthetic,High Contrast,Bold,8.4,Grid,iOS,Haptic Feedback,Weekend Use,0.37,0.75,12.98,13,9,True,False,AU,Small,Daily,Important Only,Yes,Voice,True,False,Hindi,False,True,None
UX1039,42,Other,Aesthetic,Gesture Nav,Monochrome,11.8,Custom,iOS,Color Correction,Weekend Use,0.15,0.17,12.02,21,3,True,False,NA,Medium,Daily,All,No,Gestures,False,True,English,True,False,Low
UX1040,31,Female,Minimalist,Notifications Off,Bold,8.0,Card-based,Tablet,Subtitles,Weekend Use,0.52,0.74,8.03,25,1,False,True,SA,Small,Never,Important Only,No,Swipe,True,False,Arabic,True,True,High
UX1041,26,Male,Aesthetic,Adaptive UI,Muted,5.6,Grid,Android,Subtitles,Weekend Use,0.87,0.64,1.35,64,2,False,False,AS,Small,Daily,Important Only,No,Tap,True,False,English,True,False,High
UX1042,43,Male,Maximalist,Dark Mode,Bold,8.5,Card-based,Tablet,Color Correction,Evening Only,0.94,0.69,3.42,17,8,False,True,AF,Large,Occasional,Important Only,No,Tap,True,False,Hindi,True,False,Moderate
UX1043,19,Female,Traditional,Dark Mode,Earth Tones,3.2,Grid,Tablet,Color Correction,Night Owl,0.94,0.45,15.33,7,5,False,True,NA,Extra Large,Never,All,No,Tap,True,True,Mandarin,False,True,High
UX1044,37,Other,Minimalist,Gesture Nav,Bold,10.9,Card-based,iOS,Magnification,Night Owl,0.21,0.64,9.96,72,7,False,False,AU,Medium,Occasional,All,No,Tap,False,False,Mandarin,True,True,Low
UX1045,45,Other,Aesthetic,Adaptive UI,Monochrome,7.0,Grid,Android,Color Correction,Evening Only,0.44,0.59,3.85,8,6,True,True,AU,Large,Daily,None,Yes,Voice,False,False,English,True,True,None
UX1046,24,Other,Trendy,High Contrast,Earth Tones,6.5,Tabular,Desktop,None,Morning Heavy,0.13,0.72,6.02,96,1,True,False,EU,Small,Daily,None,No,Voice,False,False,Hindi,True,True,Low
UX1047,25,Male,Trendy,High Contrast,Earth Tones,7.9,Custom,iOS,Color Correction,Evening Only,0.87,0.46,19.01,11,6,True,False,AS,Large,Occasional,None,Yes,Swipe,False,False,Mandarin,False,True,Moderate
UX1048,52,Female,Aesthetic,Adaptive UI,Pastel,8.2,List,Desktop,None,Weekend Use,0.42,0.48,7.98,30,7,True,False,AU,Extra Large,Daily,None,Yes,Tap,True,False,Spanish,True,True,None
UX1049,31,Non-Binary,Trendy,Silent Mode,Bold,2.7,Custom,Tablet,Color Correction,Morning Heavy,0.67,0.61,18.25,79,4,True,True,AS,Medium,Never,Important Only,No,Swipe,False,False,Spanish,True,False,Low
UX1050,34,Male,Aesthetic,Silent Mode,Muted,8.8,Custom,iOS,Magnification,Night Owl,0.74,0.19,6.79,28,8,True,False,AF,Large,Occasional,All,No,Gestures,False,False,Mandarin,True,False,Moderate
UX1051,53,Other,Eco-conscious,Dark Mode,Monochrome,4.4,Grid,Android,None,Weekend Use,0.49,0.45,11.32,14,8,True,True,EU,Small,Never,None,No,Swipe,False,True,French,False,False,Moderate
UX1052,57,Female,Trendy,Adaptive UI,Earth Tones,9.1,Tabular,Tablet,VoiceOver,Morning Heavy,0.38,0.88,1.39,17,7,True,False,NA,Large,Never,Important Only,Yes,Swipe,True,True,English,True,False,None
UX1053,21,Other,Tech-savvy,Silent Mode,Neon,10.2,List,Desktop,None,Evening Only,0.97,0.13,10.92,48,2,False,False,EU,Small,Never,All,Yes,Gestures,True,True,Mandarin,False,True,None
UX1054,19,Non-Binary,Eco-conscious,Notifications Off,Muted,10.0,Custom,iOS,Magnification,Always On,0.97,0.35,13.1,43,6,False,False,AF,Medium,Daily,All,No,Gestures,True,True,English,False,True,High
UX1055,23,Other,Maximalist,Gesture Nav,Monochrome,7.5,List,Android,Haptic Feedback,Weekend Use,0.36,0.35,5.45,23,6,True,False,AU,Medium,Daily,All,No,Swipe,True,True,Hindi,True,False,High
UX1056,59,Other,Aesthetic,High Contrast,Monochrome,7.2,Tabular,iOS,None,Evening Only,0.53,0.61,12.0,55,7,True,False,AS,Large,Occasional,Important Only,Yes,Gestures,True,True,Mandarin,False,True,None
UX1057,21,Non-Binary,Tech-savvy,Dark Mode,Monochrome,3.4,Custom,Android,Color Correction,Evening Only,0.98,0.18,13.3,23,6,True,True,AF,Medium,Occasional,None,Yes,Swipe,False,False,Spanish,False,True,High
UX1058,46,Female,Maximalist,Notifications Off,Pastel,9.8,Grid,Desktop,Color Correction,Always On,0.1,0.6,14.05,80,2,False,False,AU,Extra Large,Never,All,No,Voice,True,True,Hindi,True,False,None
UX1059,35,Male,Aesthetic,Notifications Off,Monochrome,4.7,Card-based,Android,Haptic Feedback,Morning Heavy,0.47,0.18,15.75,56,8,False,False,SA,Large,Daily,Important Only,No,Voice,False,True,French,False,False,High
UX1060,43,Female,Tech-savvy,Notifications Off,Neon,7.0,Card-based,Tablet,Magnification,Always On,0.19,0.18,6.92,90,4,True,False,AS,Small,Daily,All,No,Swipe,True,True,English,True,False,Low
UX1061,51,Non-Binary,Maximalist,High Contrast,Pastel,4.8,Card-based,iOS,Subtitles,Morning Heavy,0.56,0.68,11.79,51,9,False,True,AF,Large,Daily,Important Only,Yes,Gestures,True,True,French,True,False,Moderate
UX1062,27,Other,Trendy,Dark Mode,Muted,3.3,List,iOS,Color Correction,Evening Only,0.12,0.36,19.65,34,8,True,False,NA,Small,Occasional,None,Yes,Gestures,True,False,Spanish,True,True,None
UX1063,53,Female,Aesthetic,Dark Mode,Earth Tones,8.3,List,Android,VoiceOver,Always On,0.47,0.88,18.06,50,3,True,False,NA,Medium,Daily,None,No,Voice,True,False,Arabic,False,False,None
UX1064,31,Male,Tech-savvy,Notifications Off,Bold,2.5,Tabular,Tablet,Magnification,Always On,0.3,0.13,19.1,80,3,True,False,AU,Small,Never,All,No,Voice,True,False,Arabic,True,True,None
UX1065,48,Non-Binary,Maximalist,Silent Mode,Neon,9.5,Card-based,Android,None,Night Owl,0.58,0.46,8.34,97,8,True,False,AU,Small,Never,None,No,Gestures,True,False,English,True,False,Low
UX1066,32,Female,Minimalist,Adaptive UI,Neon,5.2,Custom,Android,None,Morning Heavy,1.0,0.19,15.95,25,2,True,True,NA,Small,Never,None,Yes,Gestures,False,True,Hindi,True,False,Moderate
UX1067,25,Male,Eco-conscious,Gesture Nav,Monochrome,2.0,Card-based,iOS,VoiceOver,Night Owl,0.82,0.38,12.78,79,9,False,False,SA,Small,Daily,Important Only,Yes,Gestures,True,False,Spanish,False,False,High
UX1068,31,Non-Binary,Aesthetic,Silent Mode,Pastel,7.1,List,Tablet,Color Correction,Night Owl,0.86,0.9,2.57,52,4,True,True,EU,Extra Large,Never,Important Only,Yes,Gestures,True,True,English,True,True,High
UX1069,40,Male,Tech-savvy,High Contrast,Pastel,2.5,Tabular,Android,Magnification,Evening Only,0.67,0.81,16.66,66,6,True,True,NA,Small,Never,All,No,Swipe,False,False,Hindi,False,True,Moderate
UX1070,57,Non-Binary,Trendy,Dark Mode,Muted,4.8,Grid,Tablet,VoiceOver,Always On,0.14,0.14,13.86,62,3,True,True,AU,Large,Occasional,Important Only,No,Gestures,True,True,English,False,True,High
UX1071,38,Other,Eco-conscious,Gesture Nav,Neon,9.1,Tabular,Tablet,Color Correction,Weekend Use,0.29,0.55,4.78,22,3,True,True,AU,Extra Large,Occasional,None,No,Voice,True,True,English,True,True,None
UX1072,33,Female,Traditional,Silent Mode,Neon,2.6,Tabular,Tablet,Magnification,Evening Only,0.93,0.62,2.52,63,3,False,False,SA,Small,Daily,Important Only,Yes,Voice,False,False,French,False,False,Moderate
UX1073,35,Male,Minimalist,High Contrast,Muted,10.4,Card-based,Android,None,Always On,0.43,0.27,16.9,95,2,True,False,NA,Small,Daily,None,Yes,Tap,False,False,Mandarin,True,False,Low
UX1074,41,Non-Binary,Minimalist,Dark Mode,Muted,2.0,Custom,Android,Magnification,Night Owl,0.19,0.22,2.5,52,8,True,True,SA,Small,Daily,All,Yes,Gestures,True,False,Spanish,False,False,Moderate
UX1075,43,Male,Maximalist,Adaptive UI,Monochrome,4.5,Tabular,iOS,Haptic Feedback,Weekend Use,0.73,0.82,2.74,67,9,False,True,NA,Extra Large,Daily,None,No,Swipe,True,False,French,True,False,None
UX1076,42,Male,Minimalist,High Contrast,Muted,9.4,Custom,Desktop,Subtitles,Always On,0.37,0.88,9.12,16,8,True,True,EU,Small,Daily,Important Only,No,Tap,True,False,Hindi,True,True,Moderate
UX1077,58,Female,Tech-savvy,Dark Mode,Muted,5.2,Card-based,iOS,Magnification,Weekend Use,0.34,0.89,3.56,91,3,True,False,AF,Small,Occasional,Important Only,Yes,Tap,True,False,Mandarin,False,False,Low
UX1078,46,Other,Minimalist,Adaptive UI,Neon,3.0,List,Android,Subtitles,Always On,1.0,0.73,18.36,38,7,True,True,NA,Small,Occasional,Important Only,No,Swipe,True,False,English,True,False,Low
UX1079,32,Male,Tech-savvy,Dark Mode,Earth Tones,5.6,List,iOS,Magnification,Weekend Use,0.87,0.63,9.94,65,2,True,True,AF,Medium,Occasional,Important Only,No,Tap,True,True,Arabic,True,False,Moderate
UX1080,18,Non-Binary,Tech-savvy,Adaptive UI,Earth Tones,4.7,List,iOS,Subtitles,Morning Heavy,0.47,0.38,11.81,91,4,False,True,NA,Large,Never,All,Yes,Tap,False,False,French,False,True,Moderate
UX1081,42,Non-Binary,Tech-savvy,Adaptive UI,Muted,10.4,Grid,Desktop,Haptic Feedback,Weekend Use,0.98,0.24,18.63,57,6,True,True,EU,Small,Never,None,Yes,Voice,False,True,Spanish,False,True,High
UX1082,24,Other,Aesthetic,Silent Mode,Monochrome,5.1,List,Tablet,None,Morning Heavy,0.69,0.16,11.08,29,5,True,True,AU,Large,Occasional,Important Only,Yes,Tap,False,True,Spanish,False,True,High
UX1083,26,Non-Binary,Eco-conscious,Notifications Off,Muted,9.9,Tabular,Android,Color Correction,Night Owl,0.77,0.65,7.72,66,9,False,False,AF,Medium,Occasional,None,Yes,Swipe,False,False,Mandarin,False,False,None
UX1084,41,Other,Tech-savvy,Adaptive UI,Earth Tones,10.9,List,Tablet,Subtitles,Always On,0.13,0.73,16.15,8,4,True,True,SA,Medium,Daily,All,Yes,Gestures,True,True,French,False,True,High
UX1085,18,Non-Binary,Minimalist,Dark Mode,Muted,6.3,List,Android,Haptic Feedback,Morning Heavy,0.21,0.76,9.41,98,5,True,False,NA,Small,Occasional,None,No,Gestures,False,False,English,True,True,None
UX1086,25,Female,Traditional,Silent Mode,Pastel,11.1,Card-based,Android,Subtitles,Always On,0.67,0.83,7.05,98,4,False,False,AU,Large,Daily,Important Only,Yes,Gestures,True,True,Mandarin,True,False,None
UX1087,41,Male,Traditional,Adaptive UI,Monochrome,5.8,List,iOS,None,Evening Only,0.91,0.8,14.74,17,8,True,False,NA,Extra Large,Occasional,None,No,Voice,True,False,Hindi,True,True,Moderate
UX1088,28,Female,Eco-conscious,Silent Mode,Neon,11.6,Custom,Tablet,Subtitles,Morning Heavy,0.66,0.9,16.23,46,8,False,False,SA,Small,Daily,Important Only,No,Voice,False,False,Spanish,False,False,High
UX1089,34,Male,Tech-savvy,High Contrast,Bold,2.9,Tabular,iOS,Haptic Feedback,Evening Only,0.22,0.3,16.04,53,3,True,False,EU,Extra Large,Occasional,Important Only,Yes,Voice,True,False,Hindi,False,False,Low
UX1090,25,Male,Minimalist,High Contrast,Pastel,8.9,Custom,Desktop,Haptic Feedback,Evening Only,0.2,0.71,19.58,82,1,False,True,AS,Medium,Daily,All,Yes,Swipe,False,False,French,True,True,Low
UX1091,52,Male,Minimalist,High Contrast,Neon,6.9,List,Tablet,VoiceOver,Evening Only,0.86,0.57,15.95,60,6,True,False,NA,Medium,Never,All,No,Gestures,False,False,Arabic,False,False,Moderate
UX1092,52,Female,Traditional,Adaptive UI,Pastel,5.9,Grid,Tablet,None,Always On,0.23,0.31,15.63,51,2,True,False,SA,Large,Never,None,No,Swipe,False,True,Hindi,True,False,Low
UX1093,50,Male,Maximalist,Notifications Off,Muted,8.3,List,iOS,VoiceOver,Weekend Use,0.57,0.89,17.29,12,2,False,True,AS,Extra Large,Daily,None,No,Swipe,False,False,English,True,False,Low
UX1094,22,Female,Minimalist,Notifications Off,Monochrome,9.0,List,iOS,None,Evening Only,0.13,0.82,1.0,59,3,True,False,NA,Extra Large,Daily,Important Only,Yes,Tap,False,False,Spanish,False,False,Moderate
UX1095,59,Other,Maximalist,Adaptive UI,Earth Tones,2.0,List,Tablet,Subtitles,Weekend Use,0.17,0.2,7.89,92,8,False,True,AF,Small,Never,Important Only,No,Gestures,True,True,French,False,True,Low
UX1096,56,Non-Binary,Trendy,Gesture Nav,Neon,3.7,Custom,iOS,Haptic Feedback,Morning Heavy,0.71,0.12,15.01,22,3,False,True,AU,Large,Occasional,Important Only,Yes,Tap,False,False,Arabic,False,False,Moderate
UX1097,58,Non-Binary,Traditional,Adaptive UI,Muted,9.1,Tabular,Android,VoiceOver,Always On,0.72,0.65,12.39,39,7,False,True,AU,Large,Daily,Important Only,Yes,Voice,True,True,Spanish,False,True,None
UX1098,45,Male,Tech-savvy,High Contrast,Earth Tones,8.7,Tabular,iOS,Subtitles,Evening Only,0.41,0.58,4.37,93,9,False,True,SA,Extra Large,Occasional,All,No,Voice,True,False,Arabic,False,False,High
UX1099,24,Female,Minimalist,Notifications Off,Monochrome,11.7,Grid,Android,Haptic Feedback,Night Owl,0.29,0.85,6.77,85,8,True,True,AF,Medium,Never,Important Only,Yes,Swipe,True,True,Spanish,False,False,Low
UX1100,26,Non-Binary,Maximalist,Gesture Nav,Monochrome,9.6,Grid,Android,None,Morning Heavy,0.83,0.29,7.4,36,1,False,False,EU,Large,Never,All,No,Swipe,True,False,Mandarin,True,False,Moderate
UX1101,25,Female,Aesthetic,High Contrast,Monochrome,11.5,Grid,Desktop,Haptic Feedback,Morning Heavy,0.3,0.17,11.79,28,7,True,True,AS,Medium,Daily,None,No,Tap,False,False,Mandarin,False,False,Low
UX1102,29,Female,Tech-savvy,Notifications Off,Bold,9.0,Grid,Desktop,Subtitles,Morning Heavy,0.59,0.31,16.8,11,7,True,True,SA,Small,Occasional,None,Yes,Tap,True,True,Mandarin,True,False,High
UX1103,51,Male,Minimalist,Silent Mode,Monochrome,5.0,List,iOS,VoiceOver,Evening Only,0.97,0.12,18.72,17,8,False,False,NA,Large,Never,All,Yes,Swipe,False,True,French,True,False,Low
UX1104,50,Non-Binary,Eco-conscious,Dark Mode,Neon,3.1,Grid,iOS,VoiceOver,Morning Heavy,0.23,0.13,15.25,95,5,False,False,AU,Large,Occasional,Important Only,No,Gestures,True,True,Mandarin,True,False,None
UX1105,40,Male,Tech-savvy,Dark Mode,Bold,9.8,Custom,Desktop,Haptic Feedback,Night Owl,0.95,0.83,17.02,73,9,True,False,NA,Small,Never,None,Yes,Swipe,False,True,French,False,True,Moderate
UX1106,41,Male,Minimalist,Gesture Nav,Neon,8.4,Custom,Desktop,Subtitles,Morning Heavy,0.26,0.38,9.93,94,9,False,False,AS,Large,Daily,All,Yes,Gestures,False,True,English,True,True,High
UX1107,54,Non-Binary,Eco-conscious,High Contrast,Neon,2.5,List,iOS,Magnification,Morning Heavy,0.61,0.43,8.41,46,8,True,True,AF,Extra Large,Occasional,None,No,Tap,False,False,Mandarin,False,True,None
UX1108,52,Non-Binary,Maximalist,Notifications Off,Bold,5.6,Custom,Android,None,Weekend Use,0.44,0.11,8.46,35,6,False,False,AF,Extra Large,Occasional,Important Only,Yes,Voice,False,False,French,False,False,Low
UX1109,57,Other,Trendy,Dark Mode,Bold,11.6,Grid,iOS,None,Morning Heavy,0.97,0.32,12.7,78,6,True,True,SA,Small,Daily,All,No,Voice,False,True,Spanish,False,True,Low
UX1110,39,Other,Tech-savvy,Notifications Off,Neon,7.0,Grid,Desktop,Subtitles,Evening Only,0.35,0.74,3.36,30,1,True,False,SA,Medium,Daily,None,No,Tap,True,True,French,False,False,Low
UX1111,44,Female,Maximalist,Gesture Nav,Earth Tones,6.3,Card-based,Tablet,Magnification,Always On,0.46,0.59,12.01,90,6,False,False,AF,Medium,Daily,Important Only,Yes,Tap,True,True,Hindi,False,True,High
UX1112,52,Non-Binary,Eco-conscious,Gesture Nav,Earth Tones,6.6,List,Tablet,VoiceOver,Always On,0.98,0.7,13.64,80,4,True,False,SA,Large,Daily,All,No,Voice,True,False,French,True,True,Moderate
UX1113,18,Other,Traditional,High Contrast,Earth Tones,4.1,Tabular,iOS,Color Correction,Always On,0.58,0.46,9.34,36,4,True,False,AF,Medium,Never,All,Yes,Gestures,True,False,Hindi,False,False,High
UX1114,52,Female,Trendy,Adaptive UI,Neon,5.7,List,Desktop,Color Correction,Evening Only,0.55,0.35,19.11,95,2,False,False,AS,Medium,Occasional,All,No,Tap,False,True,Spanish,True,False,None
UX1115,54,Female,Maximalist,High Contrast,Bold,5.7,Grid,iOS,Subtitles,Evening Only,0.33,0.49,12.56,56,4,False,True,SA,Small,Never,All,Yes,Gestures,True,False,French,False,False,Moderate
UX1116,31,Female,Eco-conscious,High Contrast,Earth Tones,2.5,Custom,Tablet,Magnification,Night Owl,0.73,0.36,5.18,24,5,False,True,AF,Medium,Daily,None,No,Gestures,True,True,Spanish,False,False,High
UX1117,20,Other,Aesthetic,Dark Mode,Muted,9.7,Card-based,iOS,Magnification,Evening Only,0.11,0.77,10.11,44,5,False,True,SA,Medium,Never,All,No,Voice,True,False,Hindi,False,False,Low
UX1118,18,Non-Binary,Aesthetic,Notifications Off,Muted,6.2,Card-based,Android,None,Evening Only,0.14,0.34,13.83,63,5,False,False,NA,Medium,Never,All,Yes,Gestures,True,True,Arabic,True,True,None
UX1119,22,Male,Aesthetic,Notifications Off,Pastel,10.2,Tabular,Android,VoiceOver,Night Owl,0.64,0.63,7.15,81,4,True,True,AU,Extra Large,Occasional,All,Yes,Voice,True,True,Mandarin,True,False,Low
UX1120,43,Female,Trendy,Notifications Off,Neon,10.5,List,Android,Haptic Feedback,Night Owl,0.41,0.21,2.51,18,1,True,False,NA,Extra Large,Occasional,All,Yes,Tap,False,False,Hindi,True,False,High
UX1121,31,Other,Tech-savvy,Dark Mode,Bold,4.1,Card-based,iOS,Magnification,Weekend Use,0.96,0.65,12.09,48,8,False,False,EU,Small,Occasional,All,Yes,Swipe,False,False,English,True,False,None
